GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PAC-F1 Backend Java,com.ivancaccamo.pacf1.service,PythonMLService,37,0,0,0,8,0,2,0,2,0
PAC-F1 Backend Java,com.ivancaccamo.pacf1.service,OptimizationEngine.StintDecision,0,12,0,0,0,5,0,1,0,1
PAC-F1 Backend Java,com.ivancaccamo.pacf1.service,OptimizationEngine,5,405,6,36,0,87,6,20,0,5
PAC-F1 Backend Java,com.ivancaccamo.pacf1.model,PredictionResponse,17,0,0,0,5,0,5,0,5,0
PAC-F1 Backend Java,com.ivancaccamo.pacf1.model,SavedStrategy,76,0,2,0,32,0,16,0,15,0
PAC-F1 Backend Java,com.ivancaccamo.pacf1.model,PredictionResponse.TyrePrediction,0,24,0,0,0,7,0,7,0,7
PAC-F1 Backend Java,com.ivancaccamo.pacf1.model,RaceStrategy,4,25,0,0,1,7,1,6,1,6
PAC-F1 Backend Java,com.ivancaccamo.pacf1.model,PredictionRequest,46,0,0,0,16,0,10,0,10,0
PAC-F1 Backend Java,com.ivancaccamo.pacf1.model,Stint,28,22,0,0,8,7,8,2,8,2
PAC-F1 Backend Java,com.ivancaccamo.pacf1,App,12,0,0,0,4,0,3,0,3,0
PAC-F1 Backend Java,com.ivancaccamo.pacf1.controller,StrategyController,38,0,2,0,8,0,6,0,5,0
